epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2909.87,0.67854,0.81384,1.0701,0.90439,0.91982,0.94863,0.80435,0.62418,0.67729,1.04441,0.0002872,0.0002872,0.0002872
74,2948.57,0.66882,0.82021,1.06367,0.92331,0.91468,0.95046,0.80524,0.62759,0.66586,1.04758,0.0002773,0.0002773,0.0002773
75,2987.9,0.68269,0.8252,1.06756,0.93295,0.90613,0.95279,0.80836,0.62388,0.66236,1.04458,0.0002674,0.0002674,0.0002674
76,3026.7,0.67685,0.81261,1.06909,0.9256,0.90225,0.94927,0.80802,0.61719,0.66771,1.0427,0.0002575,0.0002575,0.0002575
77,3067.72,0.67946,0.81753,1.0673,0.91405,0.92235,0.95121,0.8112,0.61864,0.66002,1.04393,0.0002476,0.0002476,0.0002476
78,3106.68,0.66984,0.81777,1.0719,0.92596,0.91422,0.9522,0.80907,0.61844,0.66068,1.04253,0.0002377,0.0002377,0.0002377
79,3145.42,0.66894,0.80561,1.06261,0.91446,0.9258,0.95146,0.81189,0.61693,0.65609,1.04051,0.0002278,0.0002278,0.0002278
80,3184.62,0.67731,0.81407,1.06944,0.93211,0.9017,0.94818,0.80862,0.61181,0.66196,1.03819,0.0002179,0.0002179,0.0002179
81,3223.44,0.67927,0.81594,1.07571,0.93425,0.91139,0.9506,0.81092,0.61265,0.65721,1.04005,0.000208,0.000208,0.000208
82,3265.16,0.67786,0.80141,1.06534,0.9323,0.91411,0.95141,0.81191,0.61176,0.65511,1.03723,0.0001981,0.0001981,0.0001981
83,3304.97,0.66721,0.8108,1.06789,0.92303,0.92098,0.94906,0.80936,0.61123,0.66198,1.03683,0.0001882,0.0001882,0.0001882
84,3345.13,0.67172,0.80198,1.06556,0.93057,0.91296,0.95114,0.81278,0.60867,0.65038,1.03594,0.0001783,0.0001783,0.0001783
85,3386.41,0.66503,0.79426,1.06381,0.91703,0.9284,0.94896,0.81157,0.60741,0.65233,1.03409,0.0001684,0.0001684,0.0001684
86,3426.09,0.6674,0.80085,1.0612,0.92579,0.91105,0.95096,0.81284,0.60832,0.65744,1.0335,0.0001585,0.0001585,0.0001585
87,3467.11,0.65364,0.78151,1.05427,0.92593,0.92191,0.95271,0.81452,0.60575,0.64319,1.03231,0.0001486,0.0001486,0.0001486
88,3507.99,0.66368,0.79327,1.0643,0.93568,0.90777,0.95374,0.81669,0.60827,0.64658,1.03406,0.0001387,0.0001387,0.0001387
